strategy,args,step,mAP
random_sampling,{},1,0.20622164320564149
random_sampling,{},2,0.26899656692229484
random_sampling,{},3,0.3269944884832425
random_sampling,{},4,0.3445449299270043
random_sampling,{},5,0.36466718932126413
random_sampling,{},6,0.3808128814204637
random_sampling,{},7,0.40267578663964637
random_sampling,{},8,0.42195570284863715
random_sampling,{},9,0.42342276023036296
random_sampling,{},10,0.4474236501133856
random_sampling,{},11,0.44722420269416663
random_sampling,{},12,0.45313960126063957
random_sampling,{},13,0.4616187980824316
random_sampling,{},14,0.47139108976280053
random_sampling,{},15,0.4769755144434093
random_sampling,{},16,0.48372931038634776
random_sampling,{},17,0.4917468598909479
random_sampling,{},18,0.48358188998153306
random_sampling,{},19,0.4929244901978168
random_sampling,{},20,0.5070144117824996
random_sampling,{},21,0.5006715752413576
random_sampling,{},22,0.4946315633817734
random_sampling,{},23,0.5070214478880369
random_sampling,{},24,0.5176186280635889
random_sampling,{},25,0.5166268269601946
random_sampling,{},26,0.5209602734513228
random_sampling,{},27,0.5179098866680354
random_sampling,{},28,0.5183237906272047
random_sampling,{},29,0.5267815068991641
random_sampling,{},30,0.5241788935622099
