step,indices
0,"[4292, 4192, 747, 1086, 3049, 3074, 530, 4137, 1219, 5099, 2313, 1879, 2722, 4114, 1918, 5663, 4593, 1477, 233, 1038, 5071, 1964, 1533, 4251, 2306, 926, 506, 3505, 1837, 5807, 4622, 5447, 2333, 4680, 5443, 1242, 1220, 156, 1022, 4681, 4406, 4865, 5379, 4597, 5494, 4446, 2268, 408, 308, 2513, 4943, 1630, 4449, 964, 4267, 3808, 1498, 915, 2543, 3707, 2142, 3413, 2787, 5721, 101, 2022, 5378, 1199, 5428, 1561, 1694, 2977, 4697, 3866, 1897, 3576, 2517, 3883, 1158, 2902, 4207, 3431, 3400, 3013, 263, 3100, 4594, 3044, 2225, 2650, 1073, 1456, 3754, 2063, 3007, 5468, 3393, 1039, 157, 3968, 3407, 5472, 654, 3977, 4590, 4515, 4747, 5696, 1957, 3945, 3159, 969, 1817, 3717, 2163, 3880, 1410, 1505, 2680, 2714, 4860, 4848, 3455, 1886, 805, 611, 2232, 1097, 5627, 3333, 239, 5306, 1813, 4546, 4054, 1128, 319, 1747, 1407, 2819, 712, 4253, 2602, 199, 1888, 561, 800, 132, 5760, 1672, 3307, 3625, 1163, 1499, 1103, 2404, 2167, 3852, 393, 2905, 1501, 177, 5434, 351, 2654, 3002, 1643, 4568, 4046, 168, 5288, 4881, 3082, 5521, 4802, 1215, 4233, 5283, 80, 2031, 783, 5108, 2121, 2638, 3896, 5338, 2436, 3259, 410, 346, 2164, 5586, 2758, 3475, 1235, 4890, 4306, 4166, 4808, 4159, 3435, 1323, 1941, 4290, 5503, 1873, 5399, 3290, 5441, 3996, 3362, 221, 877, 4873, 4041, 1272, 23, 1419, 2689, 4151, 3096, 1393, 3454, 14, 4331, 2802, 5318, 4466, 4608, 598, 2858, 4714, 2554, 2951, 2346, 3667, 4401, 1666, 2447, 3209, 1874, 3322, 2410, 5651, 2053, 5658, 3612, 2389, 167, 3262, 65, 2850, 5771, 5376, 1892, 79, 4787, 1351, 2943, 2548, 2499, 373, 1436, 787, 5453, 3861, 1421, 599, 1973, 2445, 2114, 2509, 181, 865, 3940, 2439, 2868, 1921, 3966, 259, 279, 5055, 5086, 4634, 655, 2664, 3352, 5021, 1699, 1729, 676, 1730, 4739, 586, 15, 3382, 1566, 538, 2471, 808, 4200, 5632, 2750, 1212, 2718, 4967, 534, 4174, 1144, 2288, 3573, 2195, 4534, 2329, 1183, 2867, 1743, 2505, 3731, 4732, 5772, 746, 3258, 1454, 8, 2321, 426, 683, 1467, 5243, 230, 576, 553, 2699, 3955, 4479, 893, 33, 2575, 44, 3094, 5821, 1703, 1374, 751, 5582, 325, 4886, 4050, 5128, 3518, 2865, 4494, 2821, 2526, 1297, 3527, 3570, 696, 4336, 4189, 2997, 3285, 5626, 1173, 2688, 3620, 401, 5782, 4348, 1448, 5352, 705, 1586, 1726, 324, 626, 2302, 501, 4993, 2124, 2607, 1883, 5724, 1209, 3608, 1055, 1700, 439, 3493, 5633, 3755, 4853, 3398, 4573, 5335, 4509, 2481, 3604, 2077, 4862, 3875, 810, 3908, 1231, 2119, 1595, 5262, 5748, 544, 465, 4940, 240, 5594, 1181, 3706, 297, 1483, 2576, 5346, 63, 3318, 5791, 2892, 4868, 5784, 2407, 84, 2002, 2942, 5118, 2986, 3593, 1302, 3532, 333, 4283, 1330, 879, 2754, 977, 4815, 2829, 2417, 5193, 4834, 247, 1652, 2477, 2767, 3982, 2998, 3308, 371, 4541, 4687, 4574, 2182, 5400, 1335, 5690, 2213, 1867, 4444, 807, 1328, 2153, 2244, 1507, 889, 315, 3346, 4258, 3358, 2127, 1244, 4661, 2086, 149, 2910, 1109, 4162, 290, 453, 4248, 4019, 5083, 1487, 296, 2952, 2640, 2226, 4556, 3909, 1253, 742, 763, 5455, 4728, 3711, 3050, 5754, 1223, 1737, 5020, 5100, 4925, 622, 2881, 3664, 3070, 4909, 1197, 2516, 1397, 1844, 5612, 4235, 3849, 1438, 5668, 381, 1942, 422, 5631, 4518, 2874, 4403, 124, 102, 748, 1535, 3528, 2685, 2118, 1773, 135, 2273, 3995, 5409, 1611, 5416, 4500, 2827, 4795, 3270, 3245, 4944, 1371, 4778, 1755, 2963, 1046, 1383, 5605, 996, 380, 4774, 4564, 3149, 121, 5269, 2886, 418, 2669, 4016, 4219, 4733, 812, 4471, 3403, 3169, 248, 3819, 3790, 447, 2784, 2937, 1095, 2378, 4369, 3339, 1514, 2970, 755, 3164, 1480, 414, 4626, 5090, 2647, 794, 4418, 3176, 1057, 811, 1321, 589, 4522, 1025, 1345, 2522, 1669, 5775, 208, 1961, 1193, 425, 2272, 3903, 5685, 2284, 2894, 1564, 4755, 3678, 2451, 1042, 3544, 5045, 3221, 3442, 2387, 3513, 437, 5566, 2629, 107, 29, 3700, 3946, 5203, 1117, 584, 4478, 3768, 1869, 4010, 2760, 3618, 1520, 5780, 4759, 5482, 3921, 3487, 2259, 3634, 2228, 5397, 4296, 1513, 2900, 90, 681, 2299, 4272, 4529, 624, 69, 1350, 3195, 1951, 2586, 293, 5448, 4281, 468, 3381, 4692, 3560, 3931, 3571, 577, 2347, 245, 5654, 367, 1807, 5031, 2985, 5120, 5133, 1101, 1168, 3686, 4337, 3256, 555, 1983, 5006, 5670, 1090, 3217, 1741, 1662, 1840, 5418, 151, 952, 4761, 2218, 4180, 1765, 1544, 5342, 4536, 2351, 3624, 1281, 1623, 3682, 4963, 5735, 4742, 1971, 3655, 4819, 491, 2480, 1554, 471, 2792, 1176, 3774, 3716, 4017, 1002, 251, 185, 5711, 2201, 5348, 2535, 227, 5629, 5166, 1049, 2972, 2879, 4997, 5296, 5149, 1782, 1471, 3671, 2094, 4149, 764, 292, 2173, 549, 4122, 4003, 2623, 896, 3252, 2795, 2887, 4818, 1451, 5700, 5401, 2742, 978, 2794, 2133, 1188, 1161, 3213, 5467, 613, 1907, 932, 1084, 1832, 2364, 1864, 2277, 505, 1362, 2215, 3103, 2519, 1962, 1319, 3227, 3605, 4715, 106, 4897, 2927, 5113, 2948, 4204, 4448, 1032, 2495, 4100, 3647, 5740, 1044, 4260, 4588, 1599, 2780, 5812, 5577, 5699, 881, 416, 691, 1835, 1020, 564, 478, 5197, 1777, 179, 1379, 142, 5085, 5815, 5639, 3433, 3414, 605, 1344, 5548, 1545, 93, 3893, 3023, 497, 1033, 4288, 2741, 5117, 721, 907, 3879, 5598, 1788, 472, 1509, 5515, 5689, 5439, 1617, 110, 473, 4365, 4078, 3142, 2117, 4674, 1647, 1322, 4689, 3704, 272, 3341, 336, 5101, 4092, 1047, 625, 2103, 1295, 3765, 3076, 4059, 3000, 486, 1650, 4039, 724, 765, 286, 4782, 3181, 4038, 4224, 3114, 254, 5007, 1175, 4528, 2996, 5305, 5272, 3484, 5250, 4549, 4323, 1288, 4934, 3872, 5292, 5112, 994, 711, 3437, 5064, 4230, 4643, 737, 1370, 3961, 3699, 2662, 5637, 5015, 2292, 1315, 5404, 3489, 5481, 4462, 1075, 2857, 4610, 2240, 71, 3842, 5261, 2369, 5679, 2765, 1871, 2330, 1536, 3063, 228, 4607, 2107, 3515, 2574, 1074, 5125, 4001, 4710, 3722, 2399, 3207, 911, 17, 47, 2223, 5040, 5774, 443, 2577, 37, 4076, 3297, 4454, 2341, 4517, 2788, 3102, 730, 5208, 3520, 1287, 3479, 1870, 848, 2083, 2515, 5695, 3460, 1954, 4305, 3524, 2233, 2579, 5440, 5519, 4148, 5532, 88, 2909, 5617, 776, 5508, 183, 5169, 3858, 2303, 5491, 3235, 2673, 734, 1558, 4741, 144, 3728, 445, 1780]"
1,"[5073, 4178, 119, 4821, 3561, 2615, 2461, 3698, 554, 3176, 2340, 1380, 5000, 4162, 5567, 4421, 3785, 533, 2123, 4907, 3323, 3751, 1430, 1160, 4197, 5464, 3529, 1408, 4736, 5387, 1182, 5513, 3922, 3378, 1617, 5629, 3714, 4579, 2876, 4697, 461, 2929, 1853, 5454, 1324, 3200, 1696, 2214, 200, 2541, 2238, 4003, 205, 3030, 4257, 4453, 2341, 5597, 4081, 4939, 1968, 4199, 4430, 3856, 3584, 2406, 2872, 214, 4973, 2709, 3458, 4785, 3485, 5338, 2190, 5155, 1540, 2759, 5750, 1941, 5696, 4955, 4426, 3953, 424, 4975, 2295, 1498, 1461, 2691, 592, 3411, 5495, 2301, 5558, 905, 3423, 5439, 3692, 1402, 1331, 1623, 5130, 2477, 3893, 4718, 3660, 1376, 4359, 2827, 5712, 346, 2222, 2457, 1285, 4512, 3923, 4876, 2066, 4261, 5535, 3345, 3512, 3738, 5674, 1630, 3620, 4496, 1002, 4441, 5432, 2305, 3187, 717, 4968, 1213, 4352, 634, 4936, 15, 5199, 245, 1693, 5516, 1520, 3273, 1268, 4300, 304, 2612]"
2,"[1079, 4587, 4203, 2680, 5003, 5443, 3020, 1318, 4725, 3121, 90, 599, 2051, 2499, 1084, 3494, 5014, 5470, 5551, 2409, 2516, 4411, 1378, 4866, 2011, 1244, 1170, 1227, 1490, 3915, 5275, 4499, 361, 4414, 4634, 651, 1303, 1869, 4568, 4477, 731, 4022, 3138, 5710, 3892, 3681, 681, 2289, 3246, 3507, 5513, 3642, 3024, 3699, 4979, 4635, 4289, 5367, 5711, 4065, 4324, 4469, 3543, 2885, 2700, 4141, 75, 3271, 5734, 928, 5190, 4267, 2351, 3284, 5433, 2104, 2661, 224, 5610, 3676, 2465, 3476, 1974, 2272, 2223, 3672, 4633, 5362, 4549, 3037, 4998, 4394, 234, 3315, 3278, 101, 5626, 3997, 3378, 2232, 4902, 5713, 563, 3722, 2910, 3047, 3731, 1095, 3258, 4205, 882, 2724, 3405, 3198, 2153, 2540, 5648, 4396, 139, 3871, 2640, 5818, 1115, 4059, 3840, 3207, 657, 3483, 2642, 3445, 5733, 2814, 2575, 1554, 4841, 1560, 2890, 3341, 2157, 165, 4779, 476, 412, 5091, 4758, 3156, 2730, 4612, 3202, 250]"
3,"[1297, 5018, 4884, 703, 1619, 4892, 1411, 1104, 5445, 91, 516, 894, 3928, 2560, 4869, 3127, 2234, 5411, 1811, 3702, 3617, 680, 2635, 4091, 1675, 253, 830, 285, 1400, 3607, 5092, 3347, 82, 4781, 1665, 5570, 3538, 1628, 1711, 4031, 1852, 4712, 1172, 1983, 3068, 2232, 2545, 259, 1189, 4381, 3959, 5263, 4255, 5532, 19, 1953, 5715, 4551, 4913, 4918, 3407, 4384, 5462, 1635, 3045, 2594, 3191, 4529, 1919, 5174, 5449, 1906, 3363, 979, 1367, 5226, 1483, 1741, 2962, 2469, 3783, 4008, 4189, 865, 1850, 3588, 5757, 5579, 1636, 5775, 4792, 4663, 4120, 914, 493, 1898, 4151, 5817, 221, 3345, 4406, 1201, 1392, 2404, 970, 5630, 3147, 4371, 1603, 2827, 2912, 1108, 2593, 3963, 4865, 3200, 10, 3296, 1102, 2957, 287, 721, 2630, 2537, 5759, 3257, 4880, 2555, 210, 3719, 5250, 5625, 282, 1774, 2822, 2061, 1752, 2327, 5431, 167, 4520, 5324, 3123, 4405, 4465, 4549, 3300, 5158, 2424, 2017]"
4,"[4644, 2342, 4552, 2228, 3690, 2537, 61, 2602, 3045, 942, 4968, 4658, 162, 4507, 4373, 5340, 1392, 5756, 2657, 3218, 1254, 1697, 442, 767, 2515, 5232, 3093, 2026, 5587, 3359, 2197, 4247, 1094, 5650, 3221, 857, 561, 1736, 4558, 3265, 184, 4363, 1885, 3655, 3241, 3855, 3685, 1217, 4518, 1951, 933, 1109, 3789, 3977, 630, 2587, 2016, 2262, 225, 3464, 2440, 1291, 3569, 886, 3354, 5408, 1503, 5448, 4738, 1246, 5244, 4631, 3183, 5717, 180, 1432, 4699, 2997, 2585, 3396, 2399, 566, 2766, 5187, 1112, 309, 2273, 1943, 5487, 509, 5787, 1987, 3716, 222, 130, 3053, 2182, 3219, 1152, 781, 4492, 4478, 2236, 751, 3289, 3847, 4497, 279, 2829, 3887, 2866, 5541, 1762, 4235, 4982, 5592, 1370, 5321, 2676, 2369, 2893, 1823, 445, 5237, 819, 69, 4866, 5557, 5324, 4686, 2281, 4277, 4920, 2056, 85, 4609, 703, 1794, 4937, 1227, 171, 4852, 3490, 183, 5739, 2419, 4047, 4165, 2301, 4826]"
5,"[5628, 669, 5648, 1837, 1088, 4751, 4336, 915, 2330, 3024, 2213, 5101, 2445, 3475, 4130, 2045, 2348, 2018, 3823, 877, 2073, 4328, 1206, 4565, 2597, 4686, 4522, 3220, 5630, 1847, 5731, 4192, 4147, 879, 5132, 2891, 5454, 5456, 297, 4142, 2949, 5464, 5423, 3661, 572, 1167, 964, 5718, 2662, 5214, 4814, 1793, 1462, 1710, 2028, 5338, 2871, 3790, 2253, 2132, 3844, 768, 5066, 5104, 2615, 5682, 1554, 64, 3594, 3212, 115, 2638, 1790, 1339, 547, 2011, 5307, 5148, 238, 513, 3056, 4410, 1443, 3662, 4021, 3951, 2608, 1377, 5213, 138, 3756, 2209, 3619, 3565, 3131, 3104, 3935, 4132, 740, 5504, 647, 1858, 1673, 4094, 3004, 2475, 5465, 3079, 3548, 5733, 3325, 1492, 1472, 5788, 931, 263, 4544, 1754, 1751, 2875, 1737, 1735, 3762, 2270, 5469, 896, 1881, 3542, 2224, 4019, 1533, 320, 2634, 4173, 5748, 3481, 1129, 3354, 1493, 3110, 1306, 4016, 3771, 144, 2107, 2543, 1722, 4701, 3977, 2342]"
6,"[5701, 5732, 3437, 5300, 3931, 3196, 2037, 5394, 4267, 1057, 244, 150, 5084, 5022, 4715, 4365, 4526, 1795, 5437, 47, 3148, 66, 4038, 5140, 113, 1750, 1333, 767, 815, 1965, 2731, 4977, 1291, 1430, 3020, 1580, 4003, 3042, 5397, 1437, 371, 786, 2423, 1812, 1077, 4476, 4985, 1533, 847, 3592, 4178, 3715, 194, 5263, 1050, 558, 5421, 3272, 1670, 756, 627, 950, 4107, 3418, 2790, 1118, 404, 2799, 3965, 3784, 1254, 201, 736, 32, 1100, 4276, 4548, 2186, 4827, 5046, 1807, 3798, 3494, 5734, 5563, 5024, 4828, 1183, 4790, 2560, 1473, 4978, 2542, 2555, 169, 2531, 5691, 2314, 3571, 417, 3847, 5336, 1330, 3205, 140, 2009, 2443, 1368, 5213, 687, 4686, 745, 4522, 2171, 2963, 924, 4154, 1937, 144, 1494, 2978, 2789, 5719, 2653, 257, 2537, 1181, 1389, 511, 2579, 3776, 552, 4307, 2259, 373, 5569, 281, 2814, 1572, 4541, 2268, 5426, 5650, 3030, 3954, 1171, 3464, 2631, 2587, 720]"
7,"[5033, 4941, 3601, 3035, 1038, 4387, 2653, 4819, 1636, 4252, 3394, 4983, 2292, 2659, 1568, 2932, 4363, 5675, 4774, 4457, 4539, 4630, 1900, 5344, 899, 4569, 5005, 4246, 3292, 5614, 2674, 5522, 5140, 4209, 381, 933, 4429, 3235, 4280, 2853, 2333, 1300, 2513, 3314, 4590, 1158, 997, 494, 1810, 1163, 3111, 3840, 4534, 688, 4059, 318, 3703, 5093, 162, 3724, 2572, 1363, 1897, 4464, 1524, 5813, 2093, 2284, 5543, 1649, 1440, 3148, 2014, 2223, 2649, 4618, 315, 1196, 1073, 1175, 3873, 5783, 1539, 2345, 4366, 4166, 228, 717, 309, 3460, 2044, 435, 4413, 4604, 5029, 4823, 5621, 3589, 4549, 3181, 2384, 1118, 3791, 2947, 5759, 4342, 5287, 1863, 2049, 3067, 3604, 4016, 5396, 3631, 5055, 1410, 1187, 3537, 3136, 4798, 208, 232, 2088, 4955, 2696, 3673, 3061, 564, 4965, 5791, 4793, 4234, 4182, 609, 3613, 1114, 3483, 1710, 3665, 2402, 3608, 4907, 4776, 3156, 4599, 3160, 2456, 1305, 3839, 2096]"
8,"[3165, 3904, 3856, 4489, 5240, 4696, 625, 3168, 3342, 2054, 321, 4394, 4304, 1171, 1923, 3905, 3650, 83, 5428, 1520, 3802, 5698, 2376, 5243, 1356, 4840, 5750, 2999, 5636, 4888, 2929, 2650, 2503, 4400, 2534, 1589, 3212, 1293, 648, 4728, 1917, 654, 5502, 1201, 1304, 553, 4807, 2253, 2519, 910, 5264, 5106, 1191, 881, 1566, 4654, 1879, 1240, 5807, 1033, 1733, 1260, 3851, 4484, 1141, 2238, 141, 3637, 5110, 3059, 1011, 3861, 1029, 84, 4570, 3393, 1116, 3175, 3908, 3197, 1786, 1724, 3300, 1022, 1265, 1169, 3651, 4473, 4078, 912, 5051, 2494, 4298, 3853, 1532, 5237, 4667, 5082, 3952, 3597, 4284, 3947, 2920, 1639, 334, 2871, 3621, 753, 1414, 1246, 4053, 2671, 2949, 5303, 5695, 679, 4228, 3263, 4255, 5478, 5136, 3394, 4061, 4467, 1256, 3484, 1736, 4045, 4738, 1946, 2086, 578, 977, 5780, 3713, 4978, 3762, 4294, 4813, 1511, 1608, 4786, 2669, 379, 4464, 2124, 4096, 1076, 3564, 2642]"
9,"[4899, 3821, 920, 2990, 5460, 2567, 4494, 3360, 4983, 3628, 1785, 486, 3329, 5231, 1037, 558, 4540, 453, 2431, 4158, 2358, 1057, 2304, 665, 2773, 1792, 4710, 5510, 366, 180, 3614, 1727, 3247, 3036, 4137, 1682, 5195, 1175, 2616, 4298, 2178, 960, 3899, 4433, 5656, 3696, 2432, 2452, 2667, 4890, 2196, 1439, 2467, 2269, 4910, 2290, 4525, 5630, 2422, 2359, 2833, 4297, 1505, 582, 4364, 5384, 1469, 5435, 1589, 3669, 311, 277, 2205, 4013, 223, 3593, 4785, 829, 3339, 526, 1358, 5605, 3108, 2981, 5336, 1180, 557, 1524, 3206, 4867, 1065, 1246, 3135, 670, 2808, 2728, 1838, 995, 3524, 4167, 1319, 856, 3658, 3624, 2300, 2540, 3870, 1909, 181, 5662, 4536, 3604, 4091, 3113, 1140, 1163, 5246, 4064, 4323, 5524, 5084, 3165, 4325, 256, 1787, 476, 2987, 3585, 253, 4495, 172, 5086, 5622, 2516, 5175, 2858, 614, 4919, 2839, 3086, 197, 2969, 4319, 4165, 2374, 849, 1188, 5200, 1304, 1652]"
